title,price,rating,seller_name
Portronics Luxcell Wireless Mini 10k 10000mAh 15W Magnetic Wireless Fast Charging Smallest Power Bank with 22.5 Wired Output Compatible with iPhone 12 & Above & Other QI Enabled Devices(Yellow),"1,398",3.9,Cocoblu Retail
"Xiaomi Power Bank 10000mAh 22.5W Fast Charging PD | Power Delivery | QC 3.0|Type C Input & Output |Triple Output Ports|Supports Android and Apple, Tablets, Earbuds, Watches etc","1,299",4.2,Cocoblu Retail
"Ambrane 20000 mAh Mini Power Bank with 22.5W Fast Charging, Pocket Size, Triple Output, Type C PD (Input & Output), Li-Polymer, Made in India + Type C Cable (Powerlit XL Lite, Yellow)","1,999",3.9,Cocoblu Retail
"Portronics Luxcell B 10K 10000 mAh 22.5W Fast Charging Power Bank, Ultra Slim Power Bank with Mach USB-A Output, Type C PD Output, Type C Input, Wake Up Button(Black)",789,3.9,Cocoblu Retail
"ZEBRONICS MB10000S4 Power Bank, 10000 mAh, 12W, Dual USB Output, Type C & Micro USB Input, Built in Protections, Percentage LED Display, Included USB to Type C Cable, Made in India",518,3.6,Cocoblu Retail
"Kratos Legend Plus Power Bank 20000mah with Dual USB Output, 12W Fast Charging Power Bank with Slim Design and Compact Size, Type C and Micro USB Inputs, Made in India, BIS Certified",899,4.8,Cocoblu Retail
"Portronics Luxcell B 20K Advanced 20000 mAh Power Bank with 22.5W Max Output, LED Battery Display, 22.5w Mach USB-A Output, 20w Type C PD Output, Type C Input, Wake Up Button(Black)","1,218",3.9,Cocoblu Retail
"Kratos Legend Pro Power Bank with USB C/B Input, Dual USB A Output, Slim Power Bank 10000mah Compatible for iPhone (Type A to Lightning), Samsung, Xiaomi, Oppo, Vivo, Remdi (use Type A to C/B Cable)",449,3.7,Cocoblu Retail
"Ambrane 20000mAh Rugged Compact Powerbank, Slim & Lightweight with 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices (Force 20k, Dark Green)","1,799",4.0,Cocoblu Retail
"Ambrane 10000mAh Slim & Compact Powerbank, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices, Made in India + Type C Cable (Stylo 10, Black)",999,3.9,Cocoblu Retail
"pTron Dynamo Ultra 20000mAh Power Bank, 22.5W Superfast Charging, Compact Size, Type-C/PD 20W Fast Charging, Supports VOOC/Wrap/Dash/Quick Charge Protocols, 3 Output Ports, Type-C Input/Output (Black)","1,899",4.6,Cocoblu Retail
Kratos Legend Prime Mini Wireless Powerbank 10000mAh 15W Magnetic Wireless Fast Charging Smallest Power Bank with 22.5 Wired Output Compatible with iPhone 12 & Above & Other QI Enabled Devices(Black),"1,599",4.8,Cocoblu Retail
"Belkin 10000 mAh PD 3.0 Slim Fast Charging Power Bank with 1 USB-C and 2 USB-A Ports to Charge 3 Devices Simultaneously, for iPhones, Android Phones, Smart Watches & More - Black","1,489",4.1,Cocoblu Retail
"pTron Dynamo Arc 10000mAh 22.5W USB Fast Charging Nano Magnetic Power Bank, 15W Magnetic Wireless Charging, 20W PD/Type C Fast Charging, 3 Outputs/1 Input & Multiple Layers of Protection (Black)","1,399",3.8,Cocoblu Retail
"URBN Power Bank 10,000mAh - Ultra Slim, 22.5W Two Way Fast Charging, Triple Output, Dual Type C PD, 12 Layers Circuit Protection, BIS Certified, 6 Months Warranty Free Type C Cable - Camo",999,3.7,Cocoblu Retail
